id,code,name
1,1001,Pagos o abonos en cuenta y retenciones practicadas
2,1003,Retenciones en la fuente que le practicaron
3,1004,Descuentos tributarios solicitados
4,1005,Impuesto a las ventas por pagar (descontable)
5,1006,Impuesto a las ventas por pagar (generado) e impuesto al consumo
6,1007,Ingresos recibidos
7,1008,Saldo de cuentas por cobrar al 31 de diciembre
8,1009,Saldo de cuentas por pagar al 31 de diciembre
9,1010,Información de socios - accionistas - comuneros y/o cooperados
10,1011,Información de las declaraciones tributarias
11,1012,Información de declaraciones tributarias - acciones y aportes - inversiones en bonos títulos valores y cuentas de ahorro y cuentas corrientes
12,1656,Pagos o Abonos en cuenta y retenciones por secretarios generales que administran recursos del tesoro
13,1647,Ingresos recibidos para terceros
14,2275,Ingresos no constitutivos de renta ni ganancia ocasional
15,2276,Información de rentas de trabajo y pensiones
